name,category,address,lat,lng,rating,user_ratings_total,price_level,summary,phone,website,opening_hours,place_id
Hirschenkeller,Bar,"Sankt Eriksgatan 22, 112 39 Stockholm, Sweden",59.33157729999999,18.0313239,3.5,788,INEXPENSIVE,,08-121 464 56,https://www.hirschenkeller.se/?utm_source=google,Monday: 11:00 AM – 11:15 PM; Tuesday: 11:00 AM – 1:15 AM; Wednesday: 11:00 AM – 1:15 AM; Thursday: 11:00 AM – 1:15 AM; Friday: 11:00 AM – 1:15 AM; Saturday: 11:00 AM – 1:15 AM; Sunday: 11:00 AM – 11:15 PM,ChIJnZ9JHNZ3X0YRA3KJTHVCkPc
Nivå 22,Bar,"Fridhemsgatan 17, 112 40 Stockholm, Sweden",59.3324745,18.0285588,3.6,513,INEXPENSIVE,,08-653 27 90,http://www.niva22.se/,Monday: 3:00 PM – 1:00 AM; Tuesday: 3:00 PM – 1:00 AM; Wednesday: 3:00 PM – 1:00 AM; Thursday: 3:00 PM – 1:00 AM; Friday: 3:00 PM – 1:00 AM; Saturday: 2:00 PM – 1:00 AM; Sunday: 3:00 PM – 1:00 AM,ChIJ20PF79V3X0YRTYvFhWDEmPI
Retro Bar & Restaurant Kungsholmen,Bar,"Sankt Eriksgatan 22, 112 39 Stockholm, Sweden",59.33168219999999,18.031363499999998,3.6,1052,INEXPENSIVE,,08-653 50 50,https://kungsholmen.retrobar.se/?utm_source=google,Monday: 2:00 PM – 1:00 AM; Tuesday: 2:00 PM – 1:00 AM; Wednesday: 2:00 PM – 1:00 AM; Thursday: 2:00 PM – 1:00 AM; Friday: 12:00 PM – 3:00 AM; Saturday: 12:00 PM – 3:00 AM; Sunday: 12:00 PM – 1:00 AM,ChIJsUWwHdZ3X0YR6ZCRoHRFtw8
Mackinlays Inn,Bar,"Fleminggatan 85, 112 45 Stockholm, Sweden",59.334347699999995,18.0317683,4.1,638,MODERATE,,08-650 83 20,http://mackinlaysinn.se/,Monday: 4:00 – 11:00 PM; Tuesday: 4:00 PM – 12:00 AM; Wednesday: 4:00 PM – 12:00 AM; Thursday: 3:00 PM – 12:00 AM; Friday: 3:00 PM – 1:00 AM; Saturday: 3:00 PM – 1:00 AM; Sunday: 2:00 – 10:00 PM,ChIJAQDM1X2dX0YRbruCBhTErbc
The Ship,Bar,"Sankt Eriksgatan 36, 112 34 Stockholm, Sweden",59.3338178,18.0324114,3.8,1414,MODERATE,,08-654 80 00,https://theship.se/,Monday: 11:00 AM – 1:00 AM; Tuesday: 11:00 AM – 1:00 AM; Wednesday: 11:00 AM – 1:00 AM; Thursday: 11:00 AM – 1:00 AM; Friday: 11:00 AM – 1:00 AM; Saturday: 11:00 AM – 1:00 AM; Sunday: 11:00 AM – 1:00 AM,ChIJZUAh0H2dX0YRJtuUZcUvJig
Flying Scotsman Inn,Bar,"Fleminggatan 28, 112 32 Stockholm, Sweden",59.33397970000001,18.0373014,3.9,751,MODERATE,,076-327 86 66,http://www.flying.nu/,Monday: 3:00 – 11:00 PM; Tuesday: 3:00 – 11:00 PM; Wednesday: 3:00 – 11:00 PM; Thursday: 3:00 – 11:00 PM; Friday: 3:00 PM – 1:00 AM; Saturday: 3:00 PM – 1:00 AM; Sunday: Closed,ChIJx0u5rH2dX0YRsPiwEQwMRYk
Restaurang Löwenbräu,Bar,"Fridhemsplan 29, 112 40 Stockholm, Sweden",59.331717399999995,18.0267226,3.7,1035,MODERATE,,08-653 97 70,https://restauranglowenbrau.se/,Monday: 10:00 AM – 12:00 AM; Tuesday: 10:00 AM – 12:00 AM; Wednesday: 10:00 AM – 12:00 AM; Thursday: 10:00 AM – 12:00 AM; Friday: 10:00 AM – 1:00 AM; Saturday: 11:00 AM – 1:00 AM; Sunday: 11:00 AM – 1:00 AM,ChIJ8ZR2jdV3X0YRb1hr4D20Wwg
Kungsholmens Vinbar,Bar,"Fleminggatan 62, 112 45 Stockholm, Sweden",59.3351037,18.0289861,4.4,179,,,070-531 52 86,http://www.kungsholmensvinbar.se/,Monday: 4:30 – 10:00 PM; Tuesday: 4:30 – 10:00 PM; Wednesday: 4:30 – 10:00 PM; Thursday: 4:30 – 10:00 PM; Friday: 4:00 – 11:00 PM; Saturday: Closed; Sunday: Closed,ChIJtbPR3hGdX0YRjitym5-TLqY
Bistro Fridhem,Bar,"Fridhemsgatan 34, 112 40 Stockholm, Sweden",59.33330840000001,18.0298504,3.8,192,INEXPENSIVE,,,https://fridhembar34.se/,Monday: 1:00 PM – 1:00 AM; Tuesday: 1:00 PM – 1:00 AM; Wednesday: 1:00 PM – 1:00 AM; Thursday: 1:00 PM – 1:00 AM; Friday: 1:00 PM – 1:00 AM; Saturday: 1:00 PM – 1:00 AM; Sunday: 1:00 PM – 1:00 AM,ChIJIwDvDH6dX0YRQ0XxwRR-5Hw
BrewDog Kungsholmen,Bar,"Sankt Eriksgatan 56, 112 34 Stockholm, Sweden",59.3361962,18.0342053,4.2,1464,MODERATE,"No-nonsense chain bar specialising in the Scottish brewery's craft beers, with regular guest brews.",08-650 21 10,https://drink.brewdog.com/uk/kungsholmen,Monday: 4:00 – 10:00 PM; Tuesday: 4:00 – 10:00 PM; Wednesday: 3:00 – 11:00 PM; Thursday: 3:00 – 10:00 PM; Friday: 3:00 PM – 12:00 AM; Saturday: 2:00 PM – 12:00 AM; Sunday: Closed,ChIJEQ0WGHydX0YRnax1GPNtGzo
