name,category,address,lat,lng,rating,user_ratings_total,price_level,summary,phone,website,opening_hours,place_id
Holidays American Bar,Bar,"Götgatan 67, 116 21 Stockholm, Sweden",59.31268850000001,18.074288799999998,4.7,457,,,08-550 980 50,https://holidaysamericanbar.se/,Monday: 1:00 PM – 1:00 AM; Tuesday: 1:00 PM – 1:00 AM; Wednesday: 1:00 PM – 1:00 AM; Thursday: 1:00 PM – 1:00 AM; Friday: 12:00 PM – 1:00 AM; Saturday: 12:00 PM – 1:00 AM; Sunday: 12:00 PM – 1:00 AM,ChIJXW2esZJ3X0YRTpr5rJFk3-8
Crazy Horse,Bar,"Götgatan 44, 118 26 Stockholm, Sweden",59.316154499999996,18.0721792,3.8,1282,INEXPENSIVE,,08-641 36 53,https://crazyhorse.se/?utm_source=google,Monday: 11:00 AM – 1:00 AM; Tuesday: 11:00 AM – 1:00 AM; Wednesday: 11:00 AM – 1:00 AM; Thursday: 11:00 AM – 1:00 AM; Friday: 11:00 AM – 1:00 AM; Saturday: 11:00 AM – 1:00 AM; Sunday: 11:00 AM – 1:00 AM,ChIJXZKDV6B3X0YRjF5OBaXbLSo
Indigo,Bar,"Götgatan 19, 116 46 Stockholm, Sweden",59.31778560000001,18.0716174,4.1,340,MODERATE,,,"https://m.facebook.com/indigostockholm/?__tn__=,g",Monday: 6:00 PM – 1:00 AM; Tuesday: 6:00 PM – 1:00 AM; Wednesday: 4:00 PM – 1:00 AM; Thursday: 4:00 PM – 1:00 AM; Friday: 4:00 PM – 1:00 AM; Saturday: 4:00 PM – 1:00 AM; Sunday: 6:00 PM – 1:00 AM,ChIJGUayMft3X0YRwlqGDcoevSY
Baras Backe,Bar,"Götgatan 33, 116 20 Stockholm, Sweden",59.3165089,18.0722928,3.8,1161,,,08-669 58 55,https://www.baras.se/stockholm/baras-backe/,Monday: 3:00 PM – 1:00 AM; Tuesday: 3:00 PM – 1:00 AM; Wednesday: 3:00 PM – 1:00 AM; Thursday: 3:00 PM – 1:00 AM; Friday: 3:00 PM – 1:00 AM; Saturday: 2:00 PM – 1:00 AM; Sunday: 2:00 PM – 1:00 AM,ChIJwzvy3fp3X0YR6eg67z9qrrs
Holly Bush,Bar,"Götgatan 82, 118 62 Stockholm, Sweden",59.3114207,18.0743793,4.1,403,MODERATE,,08-717 57 55,https://www.hollybush.se/?utm_source=google,Monday: 11:00 AM – 1:00 AM; Tuesday: 11:00 AM – 1:00 AM; Wednesday: 11:00 AM – 1:00 AM; Thursday: 11:00 AM – 1:00 AM; Friday: 11:00 AM – 1:00 AM; Saturday: 12:00 PM – 1:00 AM; Sunday: 12:00 PM – 1:00 AM,ChIJ7wxUw_B3X0YRN1no_zoNDfM
Exit Tapas & Bar Södermalm,Bar,"Götgatan 53, 116 21 Stockholm, Sweden",59.31407910000001,18.0738556,4.1,936,MODERATE,,08-644 77 77,https://exitloungebar.se/?utm_source=google,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 12:00 AM; Wednesday: 11:00 AM – 12:00 AM; Thursday: 11:00 AM – 12:00 AM; Friday: 11:00 AM – 1:00 AM; Saturday: 12:00 PM – 1:00 AM; Sunday: 12:00 – 11:00 PM,ChIJAzEpf_p3X0YR3O5tY4i3MV8
The Central Bar,Bar,"Götgatan 84, 118 62 Stockholm, Sweden",59.311226,18.074507999999998,3.7,494,INEXPENSIVE,,08-642 50 10,http://thecentralbars.se/,Monday: 11:00 AM – 1:00 AM; Tuesday: 11:00 AM – 1:00 AM; Wednesday: 11:00 AM – 1:00 AM; Thursday: 11:00 AM – 1:00 AM; Friday: 11:00 AM – 1:00 AM; Saturday: 11:00 AM – 1:00 AM; Sunday: 11:00 AM – 1:00 AM,ChIJN8FU2vB3X0YRSquXVRpgyLo
Carmen,Bar,"Tjärhovsgatan 14, 116 21 Stockholm, Sweden",59.315069599999994,18.0759372,4,1700,INEXPENSIVE,,,,Monday: 4:00 PM – 1:00 AM; Tuesday: 4:00 PM – 1:00 AM; Wednesday: 4:00 PM – 1:00 AM; Thursday: 4:00 PM – 1:00 AM; Friday: 4:00 PM – 1:00 AM; Saturday: 4:00 PM – 1:00 AM; Sunday: 4:00 PM – 1:00 AM,ChIJQVyoQPp3X0YR8Wkr30pxiyU
Shotluckan Södermalm,Bar,"Götgatan 68, 118 26 Stockholm, Sweden",59.3131121,18.0736979,4.5,382,,,08-38 99 00,https://shotluckan.se/stockholm/?utm_source=google,Monday: Closed; Tuesday: 6:00 PM – 1:00 AM; Wednesday: 6:00 PM – 2:00 AM; Thursday: 6:00 PM – 2:00 AM; Friday: 4:00 PM – 3:00 AM; Saturday: 4:00 PM – 3:00 AM; Sunday: 6:00 PM – 1:00 AM,ChIJp_wHHV53X0YRfzv7w0QRlCk
Baras Imperium,Bar,"Medborgarplatsen 25, 118 72 Stockholm, Sweden",59.315650899999994,18.0705928,3.5,844,INEXPENSIVE,,08-669 58 55,https://www.baras.se/stockholm/baras-imperium/,Monday: Closed; Tuesday: 3:00 PM – 1:00 AM; Wednesday: 3:00 PM – 1:00 AM; Thursday: 3:00 PM – 1:00 AM; Friday: 3:00 PM – 3:00 AM; Saturday: 3:00 PM – 3:00 AM; Sunday: Closed,ChIJkzaSvvp3X0YR78v_jlXFwVc
