name,category,address,lat,lng,rating,user_ratings_total,price_level,summary,phone,website,opening_hours,place_id
The Lounge Bar Sveavägen,Bar,"Sveavägen 45, 111 34 Stockholm, Sweden",59.33923649999999,18.0594917,4.2,82,,,070-736 88 99,https://www.theloungebar.se/,Monday: 2:00 PM – 1:00 AM; Tuesday: 2:00 PM – 1:00 AM; Wednesday: 2:00 PM – 1:00 AM; Thursday: 2:00 PM – 1:00 AM; Friday: 12:00 PM – 1:00 AM; Saturday: 12:00 PM – 1:00 AM; Sunday: 12:00 PM – 1:00 AM,ChIJ9SaS_O-dX0YRoRbMHRxpY-8
Pub Anchor,Bar,"Sveavägen 90, 113 59 Stockholm, Sweden",59.34126179999999,18.0584989,4.3,3965,MODERATE,"Lively bar offering a wide choice of beers, plus pub grub & rock 'n' roll cover bands.",08-15 20 00,http://www.pubanchor.com/,Monday: 1:00 PM – 3:00 AM; Tuesday: 1:00 PM – 3:00 AM; Wednesday: 1:00 PM – 3:00 AM; Thursday: 1:00 PM – 3:00 AM; Friday: 12:00 PM – 3:00 AM; Saturday: 12:00 PM – 3:00 AM; Sunday: 1:00 PM – 3:00 AM,ChIJDbCVyWidX0YRXzMpO_IVfJM
"Kappa Bar, Stockholm Sveavägen",Bar,"Sveavägen 105, 113 50 Stockholm, Sweden",59.3456062,18.0536973,4.4,670,MODERATE,,08-121 660 00,http://stockholm.kappabar.se/,Monday: Closed; Tuesday: Closed; Wednesday: 5:00 PM – 12:00 AM; Thursday: 5:00 PM – 12:00 AM; Friday: 4:00 PM – 1:00 AM; Saturday: 4:00 PM – 1:00 AM; Sunday: Closed,ChIJO_Wec26dX0YRr6V4RXJmAjY
Crazy Horse Sveavägen,Bar,"Sveavägen 60, 111 34 Stockholm, Sweden",59.3387001,18.0609634,3.7,2114,INEXPENSIVE,,08-644 25 60,https://crazyhorse.se/?utm_source=google,Monday: 11:00 AM – 1:15 AM; Tuesday: 11:00 AM – 1:15 AM; Wednesday: 11:00 AM – 3:15 AM; Thursday: 11:00 AM – 3:15 AM; Friday: 11:00 AM – 3:15 AM; Saturday: 11:00 AM – 3:15 AM; Sunday: 11:00 AM – 1:15 AM,ChIJuTyLzWedX0YR5JVwKa-5kkc
Lion Bar,Bar,"Sveavägen 74, 113 59 Stockholm, Sweden",59.3398946,18.0597901,3.6,1151,INEXPENSIVE,,,http://lionbar.se/,Monday: 1:00 PM – 3:00 AM; Tuesday: 1:00 PM – 3:00 AM; Wednesday: 1:00 PM – 3:00 AM; Thursday: 1:00 PM – 3:00 AM; Friday: 1:00 PM – 3:00 AM; Saturday: 1:00 PM – 3:00 AM; Sunday: 1:00 PM – 3:00 AM,ChIJR0uPnGidX0YRT7RD-y_cayI
Hirschenkeller Sveavägen,Bar,"Sveavägen 61, 113 59 Stockholm, Sweden",59.3409933,18.057976600000003,3.6,1508,INEXPENSIVE,,08-30 40 05,https://www.hirschenkeller.se/?utm_source=google,Monday: 11:00 AM – 1:15 AM; Tuesday: 11:00 AM – 1:15 AM; Wednesday: 11:00 AM – 3:15 AM; Thursday: 11:00 AM – 1:15 AM; Friday: 11:00 AM – 3:15 AM; Saturday: 11:00 AM – 3:15 AM; Sunday: 11:00 AM – 1:15 AM,ChIJvXQlt2idX0YRPLYWAxjtgPs
Black Elk Saloon & Bar,Bar,"Sveavägen 61, 113 59 Stockholm, Sweden",59.3409864,18.0579632,3.6,173,,,08-27 89 12,https://crazyhorse.se/?utm_source=google,Monday: 3:00 – 11:00 PM; Tuesday: 3:00 – 11:00 PM; Wednesday: 3:00 PM – 12:00 AM; Thursday: 3:00 PM – 12:00 AM; Friday: 1:00 PM – 1:00 AM; Saturday: 1:00 PM – 1:00 AM; Sunday: 1:00 – 11:00 PM,ChIJ1QoTsIadX0YRXsS_87HQIO8
Retro Bar & Restaurant - Vasastan,Bar,"Sveavägen 120, 113 50 Stockholm, Sweden",59.34500189999999,18.0550773,3.6,988,INEXPENSIVE,,08-612 99 64,https://svea.retrobar.se/?utm_source=google,Monday: 1:00 PM – 12:00 AM; Tuesday: 1:00 PM – 12:00 AM; Wednesday: 1:00 PM – 1:00 AM; Thursday: 1:00 PM – 1:00 AM; Friday: 12:00 PM – 1:00 AM; Saturday: 12:00 PM – 1:00 AM; Sunday: 12:00 PM – 12:00 AM,ChIJ49Nzim6dX0YRc7g35qj-V2k
Ölstugan 1892 Tullen,Bar,"Sveavägen 64, 111 34 Stockholm, Sweden",59.33904959999999,18.060691,4,677,MODERATE,,08-99 99 42,https://www.olstugan.se/sveavagen,Monday: 11:00 AM – 3:00 AM; Tuesday: 11:00 AM – 3:00 AM; Wednesday: 11:00 AM – 3:00 AM; Thursday: 11:00 AM – 3:00 AM; Friday: 11:00 AM – 3:00 AM; Saturday: 12:00 PM – 3:00 AM; Sunday: 12:00 PM – 3:00 AM,ChIJO_EFOOOdX0YRXjUtBqNAHGE
Sosta Bar,Bar,"Sveavägen 84-86, 113 59 Stockholm, Sweden",59.3408382,18.058869899999998,4.7,427,INEXPENSIVE,,,http://www.sosta.se/,Monday: 7:30 AM – 5:00 PM; Tuesday: 7:30 AM – 5:00 PM; Wednesday: 7:30 AM – 5:00 PM; Thursday: 7:30 AM – 5:00 PM; Friday: 7:30 AM – 8:00 PM; Saturday: 9:00 AM – 4:00 PM; Sunday: Closed,ChIJk4MCvGidX0YRh92fmVUlg5I
